                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6321,                 1.3591,                  1.047,                 1.6284,                 1.4329,                  1.006,                0.61795,                0.33852,                 0.4131,                0.26454,                  1.323,                 1.1057,                 1.0074,                 1.2844,                  1.087,                0.97089,               0.008911,               0.008911,               0.008911
                     25,                 1.6267,                  1.326,                 1.0502,                 1.6139,                 1.4299,                 1.0066,                0.34708,                0.33348,                0.37948,                0.22823,                 1.5339,                 1.2575,                  1.045,                  1.429,                 1.3134,                 1.0025,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5725,                 1.2992,                 1.0527,                 1.5592,                 1.3694,                 1.0008,                0.62403,                0.37312,                0.41882,                0.26646,                  1.291,                 1.1129,                 0.9873,                  1.272,                 1.1403,                0.94952,               0.008812,               0.008812,               0.008812
                     27,                 1.4885,                 1.2396,                 1.0161,                  1.503,                 1.3442,                0.97698,                0.53218,                0.02743,                0.04076,                0.02113,                 2.4211,                 3.7226,                 1.3879,                 2.3788,                 4.0699,                 1.3849,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.4985,                 1.2182,                 1.0022,                 1.5307,                 1.3223,                0.97033,                0.61186,                0.43807,                0.43726,                0.29141,                 1.2289,                 1.0408,                 0.9732,                 1.2065,                 1.0354,                0.94069,               0.008713,               0.008713,               0.008713
                     29,                 1.4425,                 1.1703,                 1.0041,                 1.4552,                  1.255,                 0.9685,                0.36278,                0.46597,                0.45759,                0.30104,                 1.3482,                0.98937,                0.96861,                 1.2005,                0.94349,                0.92094,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.4191,                 1.1536,                0.99183,                 1.4637,                 1.2445,                0.95693,                0.66413,                0.39047,                0.44394,                0.30037,                 1.2107,                 1.1673,                0.96802,                 1.2013,                 1.1051,                0.93323,               0.008614,               0.008614,               0.008614
                     31,                 1.3473,                 1.0661,                0.96849,                 1.3638,                 1.1539,                0.93842,                0.65765,                0.49032,                 0.4735,                0.32831,                 1.2166,                0.94198,                0.95381,                 1.0956,                 0.9192,                0.90738,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.3231,                  1.077,                0.96559,                 1.3249,                 1.1571,                0.92639,                0.67707,                0.47989,                0.48463,                0.33986,                 1.1593,                  1.079,                 0.9422,                 1.1173,                 1.0103,                0.90696,               0.008515,               0.008515,               0.008515
                     33,                 1.2532,                 1.0192,                0.96538,                 1.2762,                 1.0803,                0.93104,                 0.6854,                0.51116,                0.49882,                0.34302,                 1.1108,                0.90526,                0.92811,                 1.1111,                0.89138,                0.89178,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2662,                 1.0264,                0.96314,                 1.3103,                 1.1128,                0.92935,                0.42879,                0.51895,                0.50407,                0.35204,                 1.1561,                0.98368,                0.94216,                 1.0784,                0.94782,                0.89606,               0.008416,               0.008416,               0.008416
